 ,Area,Mean,Min,Max,Major,Minor,Angle,%Area
426,202,255,255,255,18.969,13.559,161.991,100
427,371,255,255,255,27.905,16.928,9.403,100
428,237,255,255,255,18.982,15.897,97.561,100
429,184,255,255,255,20.901,11.209,10.525,100
430,245,255,255,255,20.095,15.524,69.077,100
431,232,255,255,255,21.572,13.694,23.354,100
432,418,255,255,255,29.038,18.328,26.384,100
433,405,255,255,255,24.061,21.432,110.889,100
434,347,255,255,255,23.625,18.701,55.204,100
435,313,255,255,255,20.652,19.297,46.404,100
436,332,255,255,255,22.203,19.039,153.528,100
437,384,255,255,255,23.286,20.996,114.573,100
438,358,255,255,255,23.313,19.552,0.202,100
439,338,255,255,255,24.178,17.800,98.001,100
440,250,255,255,255,19.644,16.204,6.201,100
441,286,255,255,255,19.831,18.362,110.967,100
442,298,255,255,255,20.883,18.170,8.131,100
443,322,255,255,255,22.694,18.066,62.150,100
444,215,255,255,255,17.444,15.693,163.420,100
445,285,255,255,255,20.436,17.757,137.681,100
446,147,255,255,255,17.316,10.809,8.251,100
447,236,255,255,255,18.161,16.546,19.664,100
448,420,255,255,255,25.663,20.838,79.566,100
449,291,255,255,255,20.552,18.028,121.302,100
450,296,255,255,255,21.876,17.228,53.766,100
451,180,255,255,255,15.448,14.836,135.423,100
452,179,255,255,255,17.562,12.978,2.205,100
453,485,255,255,255,31.760,19.443,71.379,100
454,227,255,255,255,17.876,16.168,16.177,100
455,267,255,255,255,19.907,17.078,140.545,100
456,270,255,255,255,19.895,17.280,168.899,100
457,182,255,255,255,16.153,14.346,0.166,100
458,249,255,255,255,19.321,16.409,120.673,100
459,236,255,255,255,18.797,15.986,19.476,100
460,227,255,255,255,18.544,15.586,157.730,100
461,323,255,255,255,22.929,17.936,75.057,100
462,224,255,255,255,18.462,15.448,75.630,100
463,241,255,255,255,19.531,15.711,62.270,100
464,419,255,255,255,24.207,22.039,171.179,100
465,410,255,255,255,25.859,20.187,87.318,100
466,281,255,255,255,20.800,17.201,166.669,100
467,52,255,255,255,11.601,5.707,166.917,100
468,279,255,255,255,20.077,17.694,107.089,100
469,46,255,255,255,9.863,5.938,83.869,100
470,233,255,255,255,17.432,17.018,157.855,100
471,273,255,255,255,20.872,16.654,139.992,100
472,281,255,255,255,20.317,17.610,134.282,100
473,336,255,255,255,22.111,19.348,36.051,100
474,235,255,255,255,17.964,16.656,83.754,100
475,470,255,255,255,25.533,23.437,27.264,100
476,248,255,255,255,20.869,15.130,14.208,100
477,410,255,255,255,24.582,21.237,162.878,100
478,209,255,255,255,19.148,13.897,177.195,100
479,264,255,255,255,20.071,16.747,178.252,100
480,48,255,255,255,10.105,6.048,41.904,100
481,284,255,255,255,20.353,17.766,159.257,100
482,105,255,255,255,15.952,8.381,138.643,100
483,161,255,255,255,19.091,10.738,148.109,100
484,355,255,255,255,25.226,17.918,70.893,100
485,478,255,255,255,33.944,17.930,5.890,100
486,188,255,255,255,15.812,15.138,171.308,100
487,195,255,255,255,19.080,13.013,125.823,100
488,329,255,255,255,20.563,20.372,40.144,100
489,246,255,255,255,19.087,16.410,62.664,100
490,266,255,255,255,20.861,16.235,137.788,100
491,381,255,255,255,24.692,19.647,147.011,100
492,367,255,255,255,23.534,19.856,53.727,100
493,311,255,255,255,22.597,17.523,167.564,100
494,364,255,255,255,23.221,19.959,11.394,100
495,238,255,255,255,18.681,16.221,34.875,100
496,241,255,255,255,19.059,16.100,177.206,100
497,192,255,255,255,20.710,11.804,150.974,100
498,34,255,255,255,9.787,4.423,90.000,100
499,24,255,255,255,6.861,4.454,30.458,100
